salary,company,jobname,jobcont,jobid
20-30万/年,友邦资讯科技（广州）有限公司,信息系统分析员  cobol/AS400,"职位描述：任职要求：1.计算机相关专业,本科学历以上，三年工作经验以上2.熟练使用AS400以及COBOL3.有使用Integral Life (Life/Asia) 或者CSC SMART/400为基础的应用的经验者优先4.有系统分析经验和Unix/Sybase技能者优先5.会说粤语者优先工作内容：1.分析，开发，测试以及支持Integral Life 实施,进行和推广，以此支持AIA业务发展2.按时保质地完成任务3.与AIA成员相互合作，完成项目的总目标Skill set: (please focus on main skills)1. Bachelor degree in IT related disciplines with at least 3 years working experience2. Require solid experience in AS400 and COBOL3. Integral Life (Life/Asia) or other CSC SMART/400-based application experience is highly preferred4. System analysis and Unix/Sybase skill are also preferred5. Cantonese speaker preferredJob description:1. Analyze, develop, test and support Integral Life implementation for AIA business units2. Complete the assignment on schedule with good quality.3. Work together with AIA members to meet overall project objectives职能类别：系统分析员举报分享",20
10000-14999/月,广州市柏纳管理顾问有限公司,Software Engineer(COBOL)(某美资金融科技公司）,"职位描述：Responsibility:- Analyze user requirements and establishing system objectives- Study existing system work flows and procedures and devising both information and process oriented flow charts- Design and developing overall specifications for small system projects- Conduct joint application design with users- Prepare system documentation- Provide Implementation Support- Support production system, including non-office hours whenever necessaryResponsibility:University graduate in computer science or equivalent.Over 3 years Experience in programming of Cross-browser development with AS400/COBOL, .net, SQLExperience in QA and configuration management is preferedRelevant experience over 3 yearsGood command of English both in oral and written职能类别：软件工程师高级软件工程师关键字：COBOL，AS400，QA，Finance,banking,Engineer,举报分享",21
150000-230000/年,友邦资讯科技(广州)有限公司,Cobol工程师,"职位描述：技能要求:1. IT相关专业本科毕业以上2. 至少六年工作经验3. 精通AS400和COBOL4. 有过Integral Life(Life/Asia)或其他CSC SMART/400-based 应用开发基础者优先工作内容:1. 针对AIA业务部门进行关于 Integral Life implementation的分析,开发,测试和支持2. 高效完成相应任务3. 与AIA其他成员共同合作完成项目目标职能类别：软件工程师关键字：Cobol举报分享",8
10000-14999/月,广州市柏纳管理顾问有限公司,SR VB.Net DBA Engineer（某美资金融科技公司）,"职位描述：岗位要求：1）    University graduate in computer science or equivalent with relevant experience 3~5 years.2）   Experience in programming of VB.Net, Database experience with SQL Server or Sybase.3）    Experience in Unix and Cobol is an advantage.4）   Team worker with good communication skill.5）    Good command of English both in oral and written. Fluent in Cantonese.6）   Able to work independently and under pressure.7）   Experience in Financial and Insurance Industry will be an advantage.Job description（岗位要求）:1）   Develop, test and support applications following company  development standards.2）  Complete the assignment on schedule with good quality.3）  Provide assistance in analyzing, problem solving and daily support.4）   Work together with company  members to meet overall project objectives.职能类别：数据库工程师/管理员高级软件工程师关键字：.net,VB,DBA,support,DatabaseexperiencewithSQLServerorSybase.举报分享",29
12000-20000/月,大连金顶科技有限公司,JAVA软件工程师(日本),"职位描述：ゴールドアイ コンサルティング株式会社（Goldeye Consulting Co.,Ltd. ）从国内各大城市招聘赴日社员,待遇从优。要求能长期驻日本出差或者工作,日语听说能力好，有实际项目经验，统招本科。员工属性： 可选日本正社员或契约社员招聘部门： 新宿事业部工作要求初级软件工程师（20人）：1 日语N3水平相当2 至少熟悉Java,VB.NET,C#.NET,Cobol,C,C++,PHP 语言中的一种。3 熟悉SQL语句4 能够读懂日文式样书。中级软件工程师（20人）：1 日语N2水平相当2 Java,VB.NET,C#.NET,Cobol,C,C++,PHP其中至少一种实际项目经验2年以上。3 精通SQL语句4 精通数据库 Oracle,Sqlserver,MySQL三者中至少一种5 能够写详细设计。高级软件工程师（10人）：1 日语N1水平相当2 Java,VB.NET,C#.NET,Cobol,C,C++,PHP 其中至少一种实际项目经验3年以上。3 精通Html,Javascript,Ajax，Css4 精通SQL语句5 精通数据库 Oracle,Sqlserver,MySQL三者中至少二种6 能够写概要设计和详细设计。注意：简历中务必标明日语水平。本人保证没有犯罪记录,保证没有签证拒签记录。如有问题可以紧急联络邮箱：jinding_dl@hotmail.com;职能类别：软件工程师互联网软件开发工程师关键字：软件工程师java.NetPHPC日语程序员举报分享",27
10000-14999/月,广州市柏纳管理顾问有限公司,Information System Support Analyst (某美资IT公司),"职位描述：-Information System Analyst (Life System – PAS Support)-Skill set:· Bachelor degree in IT related disciplines with 3 years working experience.· At least 3 years COBOL/Smart AS/400 development experiences.· At least 3 years Life Asia/Integral Life System development experiences.· SQL Server/Sybase/Oracle and UNIX Development experience is preferred.· Working experience in Insurance or Finance Company is preferred.· Good communication skill. Written English is must, and Oral English is a plus.· Good learning skill, have team work spirit, imitative, self-motivated.-Job description:· Develop, test and support applications following company development standards.· Complete the assignment on schedule with good quality.· Work together with company members to meet overall project objectives.· To analyze user requirement, and establish system objectives.· To work on trouble shooting, technical design, programming and testing.· To participate in preparation of Functional Design, Technical Design, and System Testing Plan and other system documents as needed.· To monitor and control the task in hand to make sure it meets the project target.v职能类别：系统分析员系统工程师关键字：support,COBOL,AS/400,LIfe,insurance,SQL,UNIX,举报分享",28
10000-14999/月,大连特思瑞思科技有限公司,赴日长期出差软件工程师（JAVA/.NET）,"职位描述：赴日长期出差软件工程师（JAVA/.NET）职位描述：赴日软件工程师，免费办理签证职位要求：1）计算机相关专业本科以上学历，可长期赴日就职2） 从事计算机软件开发满两年以上，并能熟练运用以下一种语言 Java， C＃，C++, cobol, VB.NET，PL/SQL, html等3）日语国际二级以上（口语交流无障碍者）并且对软件开发有浓厚兴趣的应届毕业生亦可；4）熟悉软件开发流程，良好的文档编写能力及编码风格5）思路清晰、工作规范、良好的沟通能力，较强的团队协作精神，敬业、责任心强，良好的学习能力本职位长期有效！！！职能类别：高级软件工程师软件工程师关键字：赴日软件开发出差日本赴日开发赴日软件工程师举报分享",19
15000-19999/月,益博睿信息技术（北京）有限公司,业务系统顾问,"职位描述：Job Responsibility:-Use business and/or technical knowledge and experience and make contact with all relevant internal and external stakeholders (including partners and potential suppliers).-Support presale activity, write documentation for required solution, make presentations to clients, etc.-Lead and manage business system requirement workshop and generate specifications.-Lead and manage program development either in Java or Cobol languages. Lead junior resources or partner resources for program development and overview the quality,-Lead the Experian flagship decision engine SDS or equivalent product strategy design and guide junior resources for detailed configuration and testing. May perform the hands on SDS configuration if needed.-Produce documentation for each stage of the project from scoping to implementation delivery.-Needs to Learn Experian new power curve platform, and delivery the related projects.Job Requirement:-3+ years’ experience within a large, complex organization or IT company. Working experience with PROBE Delivery or similar counter parts from Experian Competitors, such as FICO’s TRIAD.-Comprehensive understanding of risk management, retail banking and credit card business solution. 3+ year of experience in COBOL programming language or 3+ years of Java programming language.-3+ years’ project management experience with knowledge of project life cycle, solution delivery cycle and experience of managing cross division projects.-Strong ability to follow the logical thought process-Hard work and quick learner-Preferred majors in Math, Computer Science, Statistics, or Finance.-Solid understating of data mart and MIS reporting.-Good communication skills, client facing skills.职能类别：软件工程师举报分享",18
12000-20000/月,大连金顶科技有限公司,.NET 软件工程师(对日),"职位描述：ゴールドアイ コンサルティング株式会社（Goldeye Consulting Co.,Ltd. ）从国内各大城市招聘赴日社员，待遇从优。要求能长期驻日本出差或者工作,日语听说能力好，有实际项目经验，统招本科。员工属性： 可选日本正社员或契约社员招聘部门： 新宿事业部工作要求初级软件工程师（20人）：1 日语N3水平相当2 至少熟悉VB.NET,C#.NET,PHP,java,Cobol,C 语言中的任1种。3 熟悉SQL语句4 能够读懂日文式样书。中级软件工程师（20人）：1 日语N2水平相当2 VB.NET,C#.NET,PHP,Java,Cobol,C其中至少一种实际项目经验2年以上。3 精通SQL语句4 精通数据库 Oracle,Sqlserver,MySQL三者中至少一种5 能够写详细设计。高级软件工程师（10人）：1 日语N1水平相当2 VB.NET,C#.NET,PHP,Java,.Net,Cobol,C 其中至少一种实际项目经验3年以上。3 精通Html,Javascript,Ajax，Css4 精通SQL语句5 精通数据库 Oracle,Sqlserver,MySQL三者中至少二种6 能够写概要设计和详细设计。注意：简历中务必标明日语水平。本人保证没有犯罪记录,保证没有签证拒签记录。如有问题可以紧急联络邮箱：jinding_dl@hotmail.com;职能类别：软件工程师互联网软件开发工程师关键字：软件工程师javaC#.netVB.NetPHPC日语程序员举报分享",26
10000-14999/月,广州市柏纳管理顾问有限公司,Hybird Production support  Engineer(某美资公司）,"职位描述：Job description:Complete the assigned multi tasks on schedule with good quality.Provide assistance in analyzing and problem solving.Provide assistance in automating repeated production support requests.Follow the company’ and team’ procedure , meat compliance requestsWork proactively to meet overall project objectives.Responsibility:College graduate in computer science or equivalent with relevant experience 2~5 years.Experience in programming of .net, AS400/COBOL, Database experience with SQL Server or Sybase.Team worker with good communication skill.Good command of English both in written.职能类别：软件工程师技术支持/维护工程师关键字：Hybird，support，Engineer,AS400,COBOL,SQL,bankinsurance,finance举报分享",30
,汇丰软件开发（广东）有限公司,"Software Engineer/Senior Software Engineer,AS400","职位描述：HSBC Operations, Services and TechnologySome careers grow faster than others.If you’re looking for a career that will give you plenty of opportunities to develop, join HSBC and your future will be rich with potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.Within HSBC Operations, Services and Technology, Global Software Delivery enables HSBC to remain at the leading edge in the development and delivery of high-quality, customised banking systems. The division provides tailored, cost-competitive and robust banking solutions and services that offer a flexible and scalable framework for delivering projects on time, within budget and at the highest quality, meeting both the current and future IT challenges facing the Group.We are currently seeking an experienced professional to join this dedicated team in the role of Software Engineer/Senior Software Engineer, AS400.In this role, you will:? Develop and implement IT solutions to meet business users requirements? Conduct UR gathering, design, coding, review and testing according to project plan, design documents, guidelines and best practices.? Prepare project-related documentation? Provide production support if necessaryTo be successful in this role, you should meet the following requirements:? Bachelor Degree or above, with CET-4 or equivalent English level.? A sound appreciation of the full development life cycle, including release management;? Familiar with AS400， RPGLE，CL,COBOL on iSeries? Quick learner? Strong teamwork spirit and problem solving skills? Strong communication skills and documentation skills? Able to work independently and effectively under pressure against multiple deadlinesYou’ll achieve more when you join HSBC.http://www.hsbc.com/careersHSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.Issued by HSBC Software Development (Guangdong) Limited.职能类别：软件工程师举报分享",15
15000-25000/月,大连金顶科技有限公司,急招软件工程师 (日本),"职位描述：ゴールドアイ コンサルティング株式会社（Goldeye Consulting Co.,Ltd. ）急需招聘赴日中高级软件工程师，待遇从优。要求能长期驻日本出差或能在日本工作,日语听说能力好，有实际项目经验，统招本科。员工属性： 可选日本正社员或大连正社员招聘部门： 新宿事业部中级软件工程师（20人）：1 日语N2水平相当，口语好。2 Java,VB.NET,C#.NET,PHP,Cobol,C,C++其中至少一种实际项目经验2年以上。3 精通SQL语句4 精通数据库 Oracle,Sqlserver,MySQL三者中至少一种5 能够写详细设计。6 待遇30～35万日元每月。高级软件工程师（10人）：1 日语N1水平相当2 Java,VB.NET,C#.NET,PHP,Cobol,C,C++ 其中至少一种实际项目经验3年以上。3 精通Html,Javascript,Ajax，Css4 精通SQL语句5 精通数据库 Oracle,Sqlserver,MySQL三者中至少二种6 能够写概要设计和详细设计。7 能够带领5人以上团队作业。8 待遇35～45万日元每月。注意：简历中务必标明日语水平。本人保证没有犯罪记录,保证没有签证拒签记录。如有问题可以紧急联络邮箱：jinding_dl@hotmail.com;职能类别：软件工程师互联网软件开发工程师关键字：软件工程师javaC#.netVB.NetPHPC日语程序员举报分享",25
,汇丰软件开发（广东）有限公司,"Senior Software Engineer, Mainframe","职位描述：Senior Software Engineer, MainframeGlobal Software Delivery, HSBC Technology and ServicesSome careers grow faster than others.If you’re looking for a career that will give you plenty of opportunities to develop, join HSBC and your future will be rich with potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.Within HSBC Technology and Services, Global Software Delivery enables HSBC to remain at the leading edge in the development and delivery of high-quality, customised banking systems. The division provides tailored, cost-competitive and robust banking solutions and services that offer a flexible and scalable framework for delivering projects on time, within budget and at the highest quality, meeting both the current and future IT challenges facing the Group.We are currently seeking an experienced professional to join this dedicated team in the role ofSenior Software Engineer, Mainframe.In this role, you will:l Design: Participate in the internal technical design or provide performance tuning solutions.l Coding: Analyse and develop code as per specifications.l Reviews: Participate in review of design/code/test plan and test results.l Testing: Prepare unit test plans, Conduct unit testing and System Integration Testing, and support User Acceptance Testing.l Release preparation: Prepare procedures/JCLs/parameters for system release.l Support: Provide post development support and on-going production support.To be successful in this role, you should meet the following requirements:l Ideally have 2 years above experiences in supporting and developing Z/OS390, Cobol.l Bachelor degree in IT related major.l Good command of written and oral English.l Strong analytical and problem-solving skills for design and documentation.l Quick learner.l Strong communication and presentation skills.l Proactive, self-motivated, open-minded and able to work as part of a team member.l Able to work under pressure and tight schedule.Please click the link to log in HSBC CareerLink to submit your applicationhttps://hsbc.taleo.net/careersection/external/moresearch.ftl?lang=EN_GBYou’ll achieve more when you join HSBC.www.hsbcsoftwaredevelopment.com/HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.Issued by The Hongkong and Shanghai Banking Corporation Limited.职能类别：软件工程师举报分享",24
,汇丰软件开发（广东）有限公司,"高级软件工程师, Mainframe","职位描述：Senior Software Engineer, MainframeGlobal Software Delivery, HSBC Technology and ServicesSome careers grow faster than others.If you’re looking for a career that will give you plenty of opportunities to develop, join HSBC and your future will be rich with potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.Within HSBC Technology and Services, Global Software Delivery enables HSBC to remain at the leading edge in the development and delivery of high-quality, customised banking systems. The division provides tailored, cost-competitive and robust banking solutions and services that offer a flexible and scalable framework for delivering projects on time, within budget and at the highest quality, meeting both the current and future IT challenges facing the Group.We are currently seeking an experienced professional to join this dedicated team in the role of Senior Software Engineer, Mainframe.In this role, you will:l Design: Participate in the internal technical design or provide performance tuning solutions.l Coding: Analyse and develop code as per specifications.l Reviews: Participate in review of design/code/test plan and test results.l Testing: Prepare unit test plans, Conduct unit testing and System Integration Testing, and support User Acceptance Testing.l Release preparation: Prepare procedures/JCLs/parameters for system release.l Support: Provide post development support and on-going production support.To be successful in this role, you should meet the following requirements:l Ideally have 2 years above experiences in supporting and developing Z/OS390, Cobol.l Bachelor degree in IT related major.l Good command of written and oral English.l Strong analytical and problem-solving skills for design and documentation.l Quick learner.l Strong communication and presentation skills.l Proactive, self-motivated, open-minded and able to work as part of a team member.l Able to work under pressure and tight schedule.You’ll achieve more when you join HSBC.http://www.hsbc.com/careersHSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.Issued by The Hongkong and Shanghai Banking Corporation Limited.职能类别：软件工程师高级软件工程师关键字：Mainframe举报分享",17
5000-8000/月,广州永霸信息科技股份有限公司,开发工程师,"职位描述：岗位职责:负责银行核心业务系统的开发工作。岗位技能要求：1、 大学本科以上学历，计算机软件或相关专业；2、 1年以上软件开发经验，具有银行交易系统开发相关经验者优先；3、 了解IBM OS390，能熟练使用Cobol语言（或C,Java等其他银行IT主流开发语言）进行程序设计开发；5、 了解Oracle（或DB2等）等主流关系数据库，熟悉基本的数据库操作指令，能够通过程序和脚本完成库表的基本操作；6、 具有良好的学习与沟通能力。职能类别：软件工程师举报分享",14
12000-20000/月,大连金顶科技有限公司,C软件工程师/C++软件工程师 (日本),"职位描述：ゴールドアイ コンサルティング株式会社（Goldeye Consulting Co.,Ltd. ）从国内各大城市招聘赴日社员，待遇从优。要求能长期驻日本出差或者工作,日语听说能力好，有实际项目经验，统招本科。员工属性： 可选日本正社员或契约社员招聘部门： 新宿事业部工作要求初级软件工程师（20人）：1 日语N3水平相当2 至少熟悉C,C++,Java,VB.NET,C#.NET,Cobol,PHP 语言中的任一种。3 熟悉SQL语句4 能够读懂日文式样书。中级软件工程师（20人）：1 日语N2水平相当2 C,C++,Java,VB.NET,C#.NET,Cobol,PHP其中至少一种实际项目经验2年以上。3 精通SQL语句4 精通数据库 Oracle,Sqlserver,MySQL三者中至少一种5 能够写详细设计。高级软件工程师（10人）：1 日语N1水平相当2 C,C++,Java,VB.NET,C#.NET,Cobol,PHP 其中至少一种实际项目经验3年以上。3 精通Html,Javascript,Ajax，Css4 精通SQL语句5 精通数据库 Oracle,Sqlserver,MySQL三者中至少二种6 能够写概要设计和详细设计。注意：简历中务必标明日语水平。本人保证没有犯罪记录,保证没有签证拒签记录。如有问题可以紧急联络邮箱：jinding_dl@hotmail.com;职能类别：软件工程师互联网软件开发工程师关键字：软件工程师java.NetPHPCC++日语程序员举报分享",16
8000-20000/月,东莞市拓能电子科技有限公司,日语软件开发工程师（武汉、东京）,"职位描述：职位（一）地点：武汉、广州任职要求：1.学历：计算机应用相关专业，大专以上；2.熟悉JAVA，VBA，Oracle  熟练编写SQL文，1-4年软件开发工作经验；3.根据基本设计能够完成详细设计、代码及测试等4.有扎实的基础知识，强烈的责任感、较强的逻辑思维能力和良好的团队沟通精神，富有进取心、善于沟通，能够承担较大的工作压力；5.理解项目开发的基本流程，有对日软件开发工作经验者优先考虑；6:会日语优先考虑；7.优秀者可提供出国机会薪资：税前8k以上，五险一金，五天八小时；请发简历到takehiko@sakuragi-hr.com联系人：卢生电话：139 2235 9735职位（二）地点：日本东京职位描述：JAVA,.NET开发技术人员要求：1).有扎实的基础知识、很强的责任感、良好的逻辑思维能力和团队协作精神，能够承担较大的工作压力2).至少精通Java,.NET ,SAP,COBOL等其中的一项3).具有2年以上在日企的对日软件开发经验或者在日本从事项目开发1年以上5).日语能力通过或达到国际日语能力测试2级以上，薪资税前15k以上，具体面议请发简历到takehiko@sakuragi-hr.com联系人：卢生电话：139 2235 9735职能类别：软件工程师高级软件工程师关键字：日语软件开发JAVAVBAOracle日企东京N2N1举报分享",13
