salary,company,jobdescriptionlink,jobname,jobdescription,location
10000-20000/月,聚力精彩（北京）信息技术有限公司,http://jobs.51job.com/guangzhou/72246020.html?s=0,Python高级开发工程师AEB,职位描述：岗位职责：1、负责公司CMS类系统前后端开发；2、参与爬虫，数据解析和分析等功能的研发；3、负责分析业务领域比较复杂的问题，提出解决方案。岗位要求：1、使用Python开发过大型系统经验者优先；2、熟悉Python语言，至少熟悉一种框架，如 tornado、django等；3、具备 HTML5、CSS3 开发技术，有响应式页面开发经验4、善于使用前段的基本调试工具，熟练手写代码，并熟练掌握HTML5、CSS3、JavaScript、Ajax、jQuery等Web前端技术；5、 拥有良好的代码习惯，结构清晰，命名规范，逻辑性强；6、 有丰富的面向对象设计及编程能力，熟悉OOP开发模式；7、 熟悉Linux操作系统；8、 熟悉mysql 或其他任何一种关系型数据库管理系统；9、 熟悉redis 或其他任何一种缓存系统；10、 对新技术有强烈的探索精神，责任心强，善于团队合作与管理，能够承受工作压力，有强烈的责任心。工作地址海珠区昌岗中路238号达镖国际中心25层2502职能类别：软件工程师举报分享,广州
6000-7999/月,广州市融侨投资信息咨询有限公司,http://jobs.51job.com/guangzhou/74830197.html?s=0,python/C++应用软件研发工程师,"职位描述：职位描述：1、负责推广工具方向的研发；任职要求：1、计算机或相关专业，学历不限2、一年以上C++实际开发经验3、熟悉HTTP协议,具有Socket编程经验，能用抓包工具分析HTTP协议来进行人工模拟等4、有 php/python/c# 网络应用程序开发经验者优先（如爬虫开发，数据采集等）5、有网络营销软件研发经验者优先职能类别：高级软件工程师关键字：推广工具方向的研发举报分享",广州
5000-19999/月,广州尝先科技有限公司,http://jobs.51job.com/guangzhou-yxq/76672360.html?s=0,Python,职位描述：职责描述：1.参与大数据平台的开发与维护工作；2.服务器架构和运维；3.撰写程序设计、API接口等；4.Web后台的系统设计、功能开发岗位要求：1、计算机专业毕业，1-2年以上的Python开发经验；2、熟悉掌握Python语言，并使用该语言进行过项目开发，并了解C++语言；3、至少熟悉一种Python Web框架，如Django、Tornado、Flask等；4、熟悉使用Linux；5、熟悉使用Memcache、Redis等缓存系统；6、熟悉使用node.js；7、有良好的编码习惯，学习能力强，善于沟通职能类别：互联网软件开发工程师脚本开发工程师关键字：PythonPython工程师Python程序员Python开发C++举报分享,广州-越秀区
5000-10000/月,广州市昊恒信息科技有限公司,http://jobs.51job.com/guangzhou/70225350.html?s=0,python 开发工程师,职位描述：岗位职责：1.负责开发信息安全相关工具与产品2.负责开发漏洞检测利用脚本3.负责开发分布式网络架构4.负责大数据存储与检索分析5.负责开发与上层应用通讯接口能力要求 ：1.对信息安全有一定了解，熟悉OWASP TOP10等安全风险及对应的解决方案2.了解渗透流程，熟悉常见WEB安全漏洞分析与防范，如sql注入，xss等3.从事python项目开发2年以上，熟悉python运行机制与内存管理机制4.熟悉常用的设计模式，数据结构，软件开发流程等，并具备良好的编码规范5.熟悉linux，对多线程，多进程，socket，异步io等有一定了解6.熟悉分布式系统架构，有分布式项目开发经验优先7.思维活跃，乐于沟通，有良好的团队意识，抗压能力强，并有强烈的进取心公司将提供：（1）人性化舒适的工作环境；（2）有竞争力的薪酬体制；（3）丰富多彩的文化生活；（4）多元化的成长培训计划；完善的福利待遇：（1）公司实行五天工作制，弹性的上下班时间，周末双休。（2）为员工购买养老保险、失业保险、工伤保险、基本医疗保险、生育保险。（3）员工享有所有国家法定节假日，并享有带薪年假、产假、婚假、看护假等。（4）年底发放双薪。（5）部门活动与年度旅游活动。（6）享有公司期权职能类别：高级软件工程师软件工程师关键字：Python软件开发后端开发程序员编程周末双休带薪年假年终双薪节日福利立即上岗举报分享,广州
2000-2999/月,广州迪奥信息科技有限公司,http://jobs.51job.com/guangzhou-thq/77436338.html?s=0,Python爬虫工程师（实习）,"职位描述：任职条件：1.、计算机、信息技术或相关专业本科以上学历;2、 对做爬虫感兴趣；3、了解python,Scrapy；4、能承受工作压力;职能类别：软件工程师举报分享",广州-天河区
10000-14999/月,广州市天诺营销策划有限公司,http://jobs.51job.com/guangzhou-thq/74281921.html?s=0,Python/Django开发工程师,职位描述：岗位职责：1.参与需求分析，产品设计，功能开发；2.负责系统平台的日常维护；3.与团队技术交流，共同进步 ；4.承担web后端的技术工作，开发和维护公平价网站，主要编程语言是python 。岗位要求：1.有扎实的编程功底，热爱编程，精通至少一门开发语言，愿意深入学习Python；2.熟悉MVC架构，精通Django或者其他Python Web开发框架者优先；3.具备数据库设计能力，精通掌握MySql/MongoDB者优先；4.熟悉Linux操作系统，熟悉Apache/Tomcat/Ngnix等WebServer的部署和应用；5.有大型网络服务开发经验者优先；6.具备良好的编码习惯及开发文档书写习惯；7.具有优秀的团队合作和沟通协作能力，善于学习，乐于分享，能承受较大工作压力；8. 有一定的web前端技能，了解或熟悉HTML、CSS、Javascript。职能类别：互联网软件开发工程师软件工程师关键字：Python;Django举报分享,广州-天河区
10000-14999/月,广州七乐康药业连锁有限公司,http://jobs.51job.com/guangzhou/71362309.html?s=0,python中级开发工程师,职位描述：岗位职责：1.  负责公司python项目的后台维护和开发；2.  负责公司python项目的详细设计、编码和内部测试的组织实施，保障代码的安全；3.  负责python程序和MySQL数据库等产品技术的开发、设计、测试。岗位要求：1.  计算机相关专业，大专及以上学历，3-5年网站开发经验；2.  熟练掌握python编程，掌握python面向对象编程思想和方法；3.  熟练掌握MySQL、熟悉Html和JavaScript（jQuery）；4.  熟悉Linux（目前公司用的是Linux平台，需要精通），能够独立部署python项目；5.  有过大型网站WEB页面和脚本以及WEB服务器性能优化工作者优先；6.  为人诚实正直，做事认真负责，具有良好编码风格，有较强的独立工作能力和团队合作精神；7.  有创业热情，较强的逻辑分析能力和应变能力；良好的团队合作精神；能独立开展各项工作，并承受工作压力；思路清晰，思维敏捷，快速的学习能力，良好的英文资料阅读能力。职能类别：高级软件工程师互联网软件开发工程师举报分享,广州
6000-7999/月,广州狮鹫网络科技有限公司,http://jobs.51job.com/guangzhou-thq/68501155.html?s=0,C++/python服务端,职位描述：职位描述：1、参与服务器端需求设计；2、服务器端核心模块与逻辑代码实现；3、服务器端代码测试与维护；任职资格：1、计算机相关专业大专及以上学历；2、熟练掌握C++或python语言，熟悉python优先，有良好的编码习惯，熟悉常用的设计模式；3、熟悉常用数据结构及算法；4、熟悉windows环境下的多线程、socket编程；5、熟悉mysql、oracle、sql server等一种或多种数据库；6、能承受一定工作压力，富有良好的团队协作精神；7、有boost、ace等多种开源库使用经验优先。公司福利：1、公司包餐（一日三餐，膳食均衡搭配)-妈妈再也不用担心你不按时好好吃饭啦！2、五险一金，年终双薪；3、公司出资组织员工开展企业活动—一起玩，不掉队；4、完善的加薪激励制度-看得见的提升，更直接的回馈；5、法定假期、婚假、丧假、产假、年假等符合国家相关规定；6、职能间内部竞聘调任制度。快速发展的我们，其他福利也将陆续完善中哦~职能类别：多媒体/游戏开发工程师关键字：带薪年假年终双薪奖金丰厚包三餐节日福利举报分享,广州-天河区
8000-9999/月,广州乐为数码科技有限公司,http://jobs.51job.com/guangzhou/77750828.html?s=0,python开发工程师,职位描述：岗位职责：1、设计和开发游戏服务端；2、服务端相关辅助工具的开发；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；4、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量。任职要求：1、至少使用C/C++/PHP/Python等一门以上语言，开发过不算太小的项目；2、熟悉数据结构、DB、OS、Web开发等相关知识；3、有大规模、高性能互联网网站系统相关的设计和开发经验者优先；4、具备良好的学习能力和成长潜力，渴望和团队一起快速成长。职能类别：多媒体/游戏开发工程师关键字：pythonC++举报分享,广州
2000-4000/月,广州柠蜜信息科技有限公司,http://jobs.51job.com/guangzhou-thq/75048084.html?s=0,软件测试实习生/应届生（熟悉Java或Python）,职位描述：岗位职责：1、负责趣运动系列产品的功能测试、稳定性测试及兼容性测试；2、在测试过程中能对问题产生原因做基本判断，协助开发人员进行bug复现及回归测试；3、其它技术支持等工作。任职要求：1、在校生，具备良好的文字表达能力；2、热爱测试工作，善于逆向思维，能对测试中发现问题进行合理定位，并提出改进意见；3、可以胜任重复性工作，工作细致认真，有耐心，抗压能力强；4、有一定编码能力，熟悉Java、Python等任一门语言并有过实践经验；5、能在本岗位持续工作三个月及以上。职能类别：软件测试大学/大专应届毕业生关键字：软件测试实习生应届生实习自动化测试性能测试JavaPython举报分享,广州-天河区
3000-4499/月,广州黑珍珠计算机技术有限公司,http://jobs.51job.com/guangzhou-thq/60592771.html?s=0,Python服务器端程序员,"职位描述：如果你立志制作出足够优秀的游戏, 而又满足以下几个小小的要求,那么请加入我们吧, 你会跟一班很棒的家伙一起制作游戏!我们请的不是员工, 是一起成长的伙伴!工作内容:- 手机网络游戏服务器端开发工作装备:- 机械键盘(ducky红轴), 程序员要对得起自己的手指!职位要求:- 熟悉Python, 对Twisted, Webpy有了解者加分.- 熟悉mysql, 对数据库表设计有心得者优先, 优秀的数据库表设计是承载能力的关键.- 喜欢游戏, 对游戏开发有兴趣- 积极主动, 有担当, 负责任, 不仅能将分配的工作完成好, 还会主动去改进优化现有的游戏, 我们需要将游戏做得足够好.- 能承受压力, 能接受加班, 我们是一个快速发展的创业公司, 我们这里没有安逸的职位, 但会有奋斗的激情.- 扎实的程序基础, 熟悉常用的数据结构, 良好的编程思想, 游戏制作十分注重基本功更甚于经验.- 熟悉tcp与http的原理, 熟悉linux系统操作者优先, 我们需要对服务器的配置进行足够的优化以更稳定地运行程序- 如果您做过网络游戏的服务器端, 那么您的优先级会提高, 我们会很快联系您.要求不多, 但每一点我们都很重视.期待您的加入！职能类别：软件工程师多媒体/游戏开发工程师关键字：Python,手机游戏,网游,网络游戏,Twisted,webpy,服务器端周末双休带薪年假奖金丰厚举报分享",广州-天河区
