Associate/Senior Associate-Risk Assurance-Assurance-GZ,面议,PwC 普华永道,广州,"...Python, Visual basic; •Hands on experience in any of the business intelligent and analytics tools such as Qlikview, Tableau, SAS, IDEA, ACL,..."
运维工程师,面议,江苏易乐网络科技有限公司,广州 - 天河区,...python，能做远程配置编程；  4、熟悉TCP/IP协议和网络架构，具备基本的网络故障排错能力，对网络安全有一定的了解，有过架构网络或者电信机房工作的经验优先；  5、熟悉mysql、sqlserver等数据库的安装、配置、管理和维护；  6、熟悉一款键值对数据库的安装、部署...
云平台工程师,面议,广州亿程交通信息有限公司,广州,岗位职责：  1、负责设计、构建云平台(IAAS平台)；   2、主导系统核心模块的设计和开发；   3、分析并解决云平台开发&运维过程中的问题；     任职要求：  1、能够熟练编程，至少精通C/C++/Ruby/Java/Python之中的一门语言；   2、熟悉SOA...
hadoop开发工程师,面议,广州亿程交通信息有限公司,广州,...Python等其中一门语言编程；  4、熟悉Linux/Unix平台上的开发环境；  5、思路敏捷清晰，良好的表达和理解能力，良好的学习能力，强烈的创新意识。
运维工程师,6001-8000,广州存货贷科技股份有限公司,广州 - 天河区,岗位职责：  1、对服务器、存储、网络及其他运营设备进行安装、系统调试、维护、故障处理等工作；  2、负责服务器系统的安装调试，如Linux/Windows等；  3、及时按要求撰写工作及技术文档；  4、在运维环境中能熟练使用bash/Perl/python中任一脚本进行自动化部署...
技术主管,面议,中山大学达安基因股份有限公司,广州,...Python、pupet来实现自动化运维工作；  3、 熟悉Linux下MySQL高可用及主从同步的部署和维护；  4、 熟悉主流的网站监控系统和报警系统的搭建和使用，如nagios、cacti、zabbix等；  5、 能够熟练排查运维过程中出现的服务故障、系统故障、网络故障；...
Consumer Data Management Platform IT Manager,面议,广州伯仕马信息咨询有限公司,广州,"...Python language, shell programming, Linux OS and clustering  ·         Familiar with one type of relationship database i.e. MySQL or Or..."
后端软件开发工程师,面议,广州诺特软件开发有限公司,广州,"1.计算机相关专业，本科以上学历；  2.熟悉网络开发技术及响应式互联网架构设计 (REST API 和 MVC)；  3.熟练掌握以下任一门语言:  .NET, Ruby on Rails, Python；  4.熟练使用至少一种源码管理工具：GIT, SVN, TFS  5.熟悉..."
Ruby on Rails 开发工程师,10001-15000,广州诺特软件开发有限公司,广州,"1.计算机相关专业，本科以上学历；  2.熟悉网络开发技术及响应式互联网架构设计 (REST API 和 MVC)  3.熟练掌握以下任一门语言: Ruby on Rails, .NET, JavaScript, Python, PHP；  4.熟练使用至少一种源码管理工具：GIT,..."
java开发工程师,面议,赞同科技发展有限公司,广州,...python、c等开发语言优先； 8、能够适应较长时间出差者优先。
大数据业务部门_Java高级工程师（数据挖掘方向）,10001-15000,北京思特奇信息技术股份有限公司,广州 - 天河区,岗位职责：  1、针对具体业务需求设计算法模型，实现或指导实现算法模型；  2、用机器学习、文本挖掘等技术，对数据进行挖掘；  3、构建通用的分布式环境下算法平台，支持业务相关算法实现和应用；     任职要求：  1、两年以上Java开发相关工作经验，熟悉Java核心技术；  2、熟悉py...
数据工程师,面议,广州伯仕马信息咨询有限公司,广州,"...Python, R, SQL 等开发或运用经历者优先考虑。"
数据科学家,面议,广州伯仕马信息咨询有限公司,广州,"...Python, R, SQL 等开发或运用经历者优先考虑。"
C++项目经理,面议,广州市融侨投资信息咨询有限公司,广州 - 天河区,任职要求：  1．精通C/C++语言.  2．熟悉python等脚本语言.  3．具有5年以上设计和开发网络通讯类软件产品的经验.  4．精通多线程编程和项目架构设计并有3年以上带队开发经验.  5. 有分布式、高并发系统开发设计经验，具备设计通用框架及模块的能力.  6. 有良好的...
C++ 项目经理,面议,广州市融侨投资信息咨询有限公司,广州 - 天河区,任职要求：   1．精通C/C++语言.  2．熟悉python等脚本语言.  3．具有5年以上设计和开发网络通讯类软件产品的经验.  4．精通多线程编程和项目架构设计并有3年以上带队开发经验.  5. 有分布式、高并发系统开发设计经验，具备设计通用框架及模块的能力.  6. 有良好...
大数据业务部门_Hadoop高级工程师,10001-15000,北京思特奇信息技术股份有限公司,广州,...python中的一种脚本语言；  5、责任心强，具备较强的逻辑推理能力、团队协作能力、沟通能力，有电信行业大数据hadoop经验者优先；  6、熟悉爬虫技术、文本挖掘算法和推荐算法者优先。
网站运维工程师,面议,广州太平洋电脑信息咨询有限公司,广州,...Python、Perl其中一种优先； 4、对虚拟化、数据库、web、网络等技术了解优先； 5、具备较强的学习能力及良好的英文技术文档阅读能力； 6、有网站运维经验优先考虑。
安全工程师,面议,广州太平洋电脑信息咨询有限公司,广州,...python、shell任一并能编写简单测试脚本或工具； 3、熟练掌握Appscan、BurpLoader等常用安全测试工具； 4、了解常用的黑客攻击原理及其实现方法； 5、熟悉linux系统常用操作命令； 6、有大中型Web系统安全测试经验者优先；
测试工程师,6001-8000,广州卡宝宝互联网金融信息服务股份有限公司,广州,...python，javascript，shell；熟悉自动化测试脚本编写。
测试工程师（中级）,4001-6000,广州卡宝宝互联网金融信息服务股份有限公司,广州,...python，javascript，shell；熟悉自动化测试脚本编写。
软件测试工程师,面议,中国天渊投资集团有限公司,广州,...python、等）和常用数据库（如oracle、sql server等）； 4.	责任心强，工作细致，有耐心； 5.	有智慧城市建设智能化产品，特别是有智能家居及可穿戴设备经验者优先。
技术经理,面议,广州维猎网络技术有限公司,广州,"...Python脚本语言中的一种，熟悉HTML、XML、css、PHP、JavaScript、AJAX等； 3、熟悉Linux系统、nginx以及apache服务器，熟悉Mysql性能优化、具有mysql多主多从复制经验,熟练使用rabitmq.redis等开源软件； 4、熟悉服务器..."
高级php工程师,面议,广州维猎网络技术有限公司,广州,...Python其中至少一种脚本语优先； 5.   熟悉PHP主流框架及其工作原理如thinkphp，swoole，YII等； 6.   熟悉面向对象的分析和设计技术，了解单元测试，静态检查实现机制。有成功案例优先； 7.   熟悉NGINX，DB，CACHE，分布式解决方案，有大流...
PHP高级开发工程师,面议,精诚(中国)企业管理有限公司,广州 - 天河区,...python一种或者多种优先;  9、精通算法，对完成高性能逻辑算法有丰富经验者优先;
嵌入式开发工程师,面议,广州中国科学院计算机网络信息中心,广州 - 南沙区,...Python开发经验优先；  6、有生产经验，现场调试经验优先；  7、有较强的沟通、组织、协调能力及敏锐的观察力；  8、能吃苦耐劳，学习能力强。
架构师,20001-30000,广州悦跑信息科技有限公司,广州,...Python等任一脚本语言；  - 能熟练应用各种工具完成系统分析，找出性能瓶颈并给出优化方案；  - 有较强的系统设计能力，能搭建高可用、易扩展的系统；  - 对新技术学习具备较强学习能力和敏感度。
WEB前端开发工程师（中级）,面议,广州城市信息研究所有限公司,广州 - 天河区,...Python、Flask项目经验，熟悉Ruby或NodeJS等服务器端技术中的一种并有实际应用经验的优先
GIS开发工程师,8001-10000,广州城市信息研究所有限公司,广州 - 天河区,"...python等至少一项技能；熟悉ExtJS/Jquery等前端框架；  ◆精通ArcGIS Desktop、ArcGIS Server、ArcSDE的配置与使用;精通ArcEngine或WebGIS的二次开发；  ◆熟悉Oracle或者SQL Server等关系数据库开发, 并有..."
大数据架构师,面议,佳都新太科技股份有限公司,广州,"岗位职责：  1、3年以上软件开发工作经验，2 年以上Hadoop/Spark大数据相关工作经验； 2、对Java面向对象编程有深入的了解，熟悉Java反射、多线程、NIO、JDBC等技术使用与原理； 3、熟悉Shell, Python等脚本语言；  4、熟悉Hadoop、Spark..."
运维工程师,4001-6000,广州金聚网络科技有限公司,广州,"...python/php等两门脚本编程语言，熟悉C/C++或java编程者优先考虑。  3.熟悉TCP/IP协议、HTTP协议。  4.对数据安全、网络安全有深入的研究与实践,有大型存储设备使用经验。  素质要求：  1.计算机相关专业专科以上学历，有3年以上Linux网络管理工作经..."
软件测试实习生,2001-4000,广州市晶品电子商务有限公司,广州,...Python， Shell 其中一门编码语言优先；  5. 工作认真负责，学习能力强，具有良好的团队精神，能主动沟通协调问题及跟不同团队合作。
运维工程师,10001-15000,广州机智云物联网科技有限公司,广州,...python等脚本语言；  7.熟悉CF/Docker等新兴PaaS技术架构，有相关工作经验优先；  8.具备良好的沟通能力和强烈的责任心，热爱运维技术，有良好的文字表达能力和自学能力，有良好的工作流程、文档制定撰写习惯和良好的团队合作意识。
信息安全工程师(双休、五险一金）,4001-6000,广州竞远系统网络技术有限公司,广州 - 天河区,"...python等至少一种语言     （7）善于表达沟通,诚实守信,责任心强,讲求效率,具有良好的团队协作精神     （8）具备快速学习能力和较强的领悟力，性格开朗，思维活跃，能吃苦耐劳     （9）具有团队意识和责任感，对工作积极严谨，勇于承担压力，有良好的沟通和学习能力、独..."
渗透安全测试工程师（五险一金、双休）,面议,广州竞远系统网络技术有限公司,广州,"...Python/PHP/Go/Java等，能够独立编写漏洞利用程序；  6）对于安全技术有深厚的兴趣，并且希望投入主要精力进行跟进和研究；  7）持有专业证书（CISSP, CISA, CISP, ISO 27001 LA）优先；"
软件测试开发工程师(无人机),面议,广州南方测绘仪器有限公司,广州,...Python等；  4.熟悉SQL，有数据库产品使用经验； 5.了解软件测试理论和方法，有软件测试框架使用经验优先；  6.有Web应用测试经验优先；  7.具备较强的学习能力和良好的团队合作意识，工作认真负责。
后台开发工程师,8001-10000,广州火烈鸟网络科技有限公司,广州 - 天河区,...Python/Golang/C++优先。
数据平台研发工程师,10001-15000,广州火烈鸟网络科技有限公司,广州 - 天河区,...Python和PHP中的至少一门语言，有大型项目的开发经验更佳；  5、熟练使用Linux系统，有Linux/Unix平台的开发经验；  6、具备1年以上相关项目开发经验者优先。
C++服务端,面议,广州狮鹫网络科技有限公司,广州 - 天河区,职位描述：  1、参与服务器端需求设计；  2、服务器端核心模块与逻辑代码实现；  3、服务器端代码测试与维护；     任职资格：  1、计算机相关专业大专及以上学历；  2、熟练掌握C++或python语言，熟悉python优先，有良好的编码习惯，熟悉常用的设计模式...
数据分析员（电商大数据）,4001-6000,广州大麦信息科技有限公司,广州,...python，php中的一种 5）有电商相关运营经验者优先
数据挖掘/分析,2001-4000,宁波甬城国际旅行社有限公司,广州,...python/matlab/等分析工具； 5.有较强的学习能力和商业嗅觉，工作压力大，但报酬丰厚诚邀有志之士加盟，非诚勿扰。
数据测试工程师,面议,广东万丈金数信息技术股份有限公司,广州 - 天河区,...Python编程；  4、熟悉ETL设计及相关ETL工具优先；  5、熟悉Linux系统环境和常用命令；  6、具备良好的沟通协调和团队协作能力，具备优秀的发现问题、分析问题、解决问题的能力，有强烈的责任心和积极主动的工作态度，能高效达成目标。
数据仓管工程师,面议,广东利通信息科技投资有限公司,广州,...Python、Perl等脚本语言之一；   7、性格积极乐观，态度踏实诚信，有较强的语言表达能力；具备强烈的进取心、求知欲及团队合作精神。
服务端开发工程师,面议,广州游众软件科技有限公司,广州 - 天河区,...Python等；  2、有Python开发经验者优先，有PHP开发经验者优先；  3、熟悉MySQL数据库，对MySQL优化有一定的经验；  4、喜欢编程，追求代码质量，热爱游戏；  5、独立完成工作，能承受工作压力；  6、良好的沟通能力、学习能力。
数据分析员（电商大数据）,4001-6000,广州大麦信息科技有限公司,广州,...python，php中的一种 5）有电商相关运营经验者优先
数据挖掘/分析,2001-4000,宁波甬城国际旅行社有限公司,广州,...python/matlab/等分析工具； 5.有较强的学习能力和商业嗅觉，工作压力大，但报酬丰厚诚邀有志之士加盟，非诚勿扰。
C++服务端,面议,广州狮鹫网络科技有限公司,广州 - 天河区,职位描述：  1、参与服务器端需求设计；  2、服务器端核心模块与逻辑代码实现；  3、服务器端代码测试与维护；     任职资格：  1、计算机相关专业大专及以上学历；  2、熟练掌握C++或python语言，熟悉python优先，有良好的编码习惯，熟悉常用的设计模式...
后台开发工程师,8001-10000,广州火烈鸟网络科技有限公司,广州 - 天河区,...Python/Golang/C++优先。
高级系统运维工程师,10001-15000,广州市卓为信息技术有限公司,广州 - 天河区,...python、perl、shell等一种以上脚本语言；      4、对服务器硬件、VMware虚拟化、Oracle数据库有一定了解；      5、有综合监控系统运维管理工作经验者优先；      6、具有较强的沟通协调能力，能独立分析、解决问题，有较强的责任心。
高级运维开发工程师,面议,三七互娱(上海)科技有限公司,广州,工作职责： 1.参与自动化的运维平台开发与维护，实现系统的自动化管理； 2.研发基础服务组件，解决共性需求，减少重复开发与运维； 3.评估系统性能和运行状态，建立量化指标，用数据指导优化。  职位要求： 1.本科以上学历，三年以上运维自动化建设开发经验； 2.熟练掌握Python，C...
运维工程师,6001-8000,广州易渡信息科技有限公司,广州,"...Python），使用脚本来完成日常系统运维工作熟悉TCP/IP协议，熟悉HTTP协议、mysql数据库，深刻理解路由器、交换机、防火墙原理；具有较强的应用计算  ◆系统的能力，精通计算机系统和网络安全知识,熟悉常用系统安全技术架构；  ◆对技术文档编写规范有一定了解，能阅读英文技..."
服务端开发工程师,面议,广州游众软件科技有限公司,广州 - 天河区,...Python等；  2、有Python开发经验者优先，有PHP开发经验者优先；  3、熟悉MySQL数据库，对MySQL优化有一定的经验；  4、喜欢编程，追求代码质量，热爱游戏；  5、独立完成工作，能承受工作压力；  6、良好的沟通能力、学习能力。
运维工程师,面议,广州游众软件科技有限公司,广州 - 天河区,...Python优先；  5、熟悉saltstack、puppet自动化运维工具优先；  6、有较强的学习能力，热爱系统管理工作，有高度的责任心。
C++开发工程师,面议,广州游众软件科技有限公司,广州 - 天河区,...python等开发语言经验优先； 3、喜欢编程，追求代码质量，热爱游戏； 4、独立完成工作，能承受工作压力； 5、良好的沟通、学习能力。
深度学习工程师,面议,广州市浩云安防科技股份有限公司,广州,"...Python其中一种语言。  4)    具有熟练阅读英文文献的能力；能够跟踪学术界和工业界的最新研究成果.  5)    对技术研发有热情，愿意挑战新的技术及领域，敢于面对并挑战研发过程中的困难。  技术要求： 1) 熟悉深度神经网络和常用的模型,使用过CNN,DBN,SAE,..."
软件测试工程师,6001-8000,广州云湾信息技术有限公司,广州 - 海珠区,...python等脚本之一；   4、能熟练操作linux、sql，有java编程工作者优先；   5、至少熟悉一种自动化测试工具，能够独立完成自动化测试优先；   6、熟悉单元测试、集成测试、系统测试，对功能测试有独到的见解和方法；   7、抗压能力强，富有激情，能胜任重复性的工作...
Java开发工程师,面议,上海游民网络科技有限公司广州分公司,广州 - 天河区,...python、php开发工具优先考虑； 8、 1年以上游戏开发经验； 9、 有良好的沟通、协调能力和学习能力，具备良好的团队合作精神，对工作积极严谨踏实，能承受较大的工作压力； 10、优秀的应届生亦可。
Cocos2D开发工程师,面议,上海游民网络科技有限公司广州分公司,广州 - 天河区,...python、c#开发工具优先；  9、  有独立的用代码解决问题能力，对待疑难问题有足够的耐心；  10、  有良好的沟通、协调能力和学习能力，具备良好的团队合作精神，对工作积极严谨踏实，能承受较大的工作压力。     （注：本岗位属于3K玩所投资研发团队）
优秀实习全栈工程师,面议,广州互动派传媒科技股份有限公司,广州 - 天河区,...Python、Java等），熟练掌握常用数据结构和算法 4、熟悉Linux环境，熟练掌握一种数据库 5、优秀的沟通能力，有创新精神，乐于接受挑战，能承受工作压力 6、熟悉Spark/Hadoop/HBase/Hive等大数据处理平台者优先考虑
Web前端开发工程师（广州）,面议,珠海金山办公软件有限公司,广州,"...Python, Ruby, etc）；  2.熟悉 Linux, Git等常见开发环境及工具的使用；  3.有过大型web前端应用开发和优化经验。"
运维工程师,面议,广州仕邦人力资源有限公司,广州 - 天河区,...Python/Perl 中一种脚本语言，能根据运维需求快速开发相应脚本和自动工具；  4.熟悉常用集群服务(LVS、KEEPALIVED、HAPROXY)的搭建、维护和优化，以及问题处理；  5.熟悉MySql、redis和mongodb数据库的配置、管理和优化；  6.了解Li...
运维主管,10001-15000,广州鲲鹏信息技术有限公司,广州,...Python或其他编程语言有加分 4.熟悉数据库工作原理、熟悉sql语言、熟悉DB底层存储架构及不同存储引擎之间的应用； 5.有MySQL数据库部署和维护经验者优先； 6.有hadoop集群环境的架构、部署和维护维护经验者优先； 7.有大规模数据量系统运维、调优经验者优先； 8....
c++网游服务端开发工程师,面议,广州谷得网络科技有限公司,广州 - 天河区,职责描述（技术部）：   1. Linux下2年以上C/C++开发经验； 2. 熟悉C/C++，stl； 3. 熟悉常用数据结构和算法； 4. 思维能力强，逻辑慎密，做事踏实严谨，责任心强，善于学习； 5. 至少熟悉一门脚本语言（Bash/Lua/Perl/Python...）； 6...
python工程师,面议,广州市两棵树网络科技有限公司,广州 - 天河区,岗位职责：  1、根据公司发展要求，进行Web项目开发及维护；  2、跟踪了解产品及技术的发展，不断完善产品；  3、收集用户反馈，分析用户行为及需求，对产品进行持续的优化和改进；     任职要求：  1、2年以上开发经验，熟悉Python语言，使用过django架构；  2、拥有...
Python开发工程师,10001-15000,广州浠牛网络科技有限公司,广州 - 天河区,...Python语言和Django架构； 4、精通MySQL等数据库的使用，精通SQL语句的书写； 5、熟悉高并发的技术处理方案，能够根据业务特点和系统性能要求进行内存使用和并发相关控制调优； 6、熟悉项目相关开发工具和管理工具的使用； 7、具有良好的学习能力及良好的组织、沟通与团队...
Python研发工程师,面议,铂涛酒店管理(深圳)有限公司 ,广州,工作职责 1、负责酒店客房管理系统的开发、维护。   任职资格 1、精通Python，或对Python有浓厚兴趣； 2、熟悉SQL，熟悉 Oracle、MSSQL、MySQL、MongoDB 中至少一种； 3、善于沟通，工作投入，适应团队协作； 4、一年或以上工作经验者...
生物信息工程师,面议,广州麦仑信息科技有限公司,广州,...Python或C/C++/JAVA任一种语言编程语言者优先；  6、良好的沟通能力和团队意识，执行力强；  7、负责编写设计开发文档、设计手册、应用手册相关技术文档。        薪资福利：  1、每周5天工作制，国家规定节假日正常休班，五险一金等福利；试用期间即缴纳社保：  ...
数据挖掘工程师/策略合伙人,15001-20000,广州国邦资产管理有限公司,广州,...python、sql等开发经验；    5.   有处理分析大量数据的经验，并能熟练选择和应用数据挖掘和机器学习方法解决科研和工作中的实际问题，在统计建模上有深入研究的特别考虑；    6.  有实验室研究经验或研发类工作经验优先；     7.  良好的自我学习和快速学习能力，...
运营开发工程师,6001-8000,广州市来特悦游信息科技有限公司,广州,岗位职责：  1. 负责核心运维组件开发，支撑运维平台的高效率，高可靠性服务  2. 负责数据的统计分析，为公司内部各种系统提供可靠的数据支持     岗位要求：  1. 熟悉掌握PHP编程，接触过PHP框架  2. 熟悉JAVA、Python、Shell编程技术中的一种或多种  2...
C#工程师,8001-10000,广州涌智信息科技有限公司,广州 - 越秀区,...Python、Perl等脚本语言；  9.     熟练 Windows环境，精通数据结构与算法、Socket编程、多线程编程等；  10.    熟悉数据库MySQL及SQL Server的设计、开发与优化；  11.    熟练HBase，MongoDB，Redis或者类似N...
数据工程师,面议,广州市佩升前研市场信息咨询有限公司,广州,...python应用更佳。
ETL工程师,面议,广州市佩升前研市场信息咨询有限公司,广州,"岗位任职要求：  1）本科及以上学历，计算机专业，2年及以上开发设计经验；  2）熟悉数据仓库建模方法和工具, 能够编写复杂sql和存储过程；  3）具有较强的数据仓库模型设计和ETL设计能力；  4）具有良好的沟通能力、快速学习能力和文档编写能力；  5）熟悉VBA或python应..."
System Manager,面议,HAYS – 瀚纳仕人才管理咨询有限公司,广州,...Python. Your strong communication in English get you work well with Asian Team.   What you'll get in return  You will build up your lead...
Data Scientist,面议,HAYS – 瀚纳仕人才管理咨询有限公司,广州,"...Python, R, SQL will assist you to excel the analysis.   What you'll get in return  You will build up your leadership by the opportunity ..."
高级运维经理/运维工程师,20001-30000,上海灵伯文化传播有限公司,广州,...Python等维护脚本编写能力；   3、精通Apache、Nginx、Mysql、Nagios、Cacti等软件的配置和优化；   4、精通mysql、Redis等系统的管理、优化和容灾备份；   5、熟悉大型网站网络架构规划设计和内容备份，发布机制。
web前端开发工程师,6001-8000,广州证通网络科技有限公司,广州,...python 等)优先考虑；    7、有iphone、ipad、android等智能手机和平板开发经验优先考虑。            员工福利：  1、我们关爱员工的身体健康： ---年度体检项目； ---优于国家政策的的年假制度； ---员工特殊关爱； ---完善的加班调休...
生物信息工程师,6001-8000,金弗康生物科技(上海)有限公司,广州,"岗位职责：  1. 按要求完成相关项目分析/开发/测试工作。  2. 数据库/系统维护和升级  3. 完成项目说明，项目报告的撰写。  4. 帮助解决客户反馈/咨询等问题。     任职要求：  1、 教育背景：生物信息学，生物统计学，及相关专业；  2、 熟练掌握perl,R,python..."
运维工程师,面议,广州玖贰网络科技有限公司,广州 - 天河区,...Python 其中一种编程能力，善于使用脚本来完成系统日常运维工作和提升工作效率  4、熟悉MSSQL/Apache/Tomcat/MySQL/Nginx/mogoDb/memcached等配置，具有独立搭建平台和管理维护的能力  5、熟悉了解HP、DELL、IBM服务器者优先 ...
运维开发工程师,面议,铂涛酒店管理(深圳)有限公司 ,广州 - 海珠区,职位要求：  1、计算机类相关专业，大专以上学历；   2、3年以上互联网行业经验，及2年以上的服务器维护经验；   3、精通Linux的系统管理，对系统性能有一定的认识；   4、熟悉Iptables、Nginx、Mysql的基本配置和维护；熟悉mysql等数据库应用；精通shell/perl/...
DBA工程师,面议,铂涛酒店管理(深圳)有限公司 ,广州,...Python 及/或 Shell/Bash ；  8、突出的分析问题和解决问题的能力；  9、有良好的团队协作意识，及较强的学习和沟通能力；  10、熟悉Redis、Mongodb、Memcache等开源系统、具有分布式应用框架经验者优先。  11、有MS SQL DBA工作经验...
安全测试工程师,8001-10000,铂涛酒店管理(深圳)有限公司 ,广州 - 海珠区,...python；  4、具有一定的驱动能力，有团队合作精神，严于律己，积极向上；  5、有互联网安全从业经验者优先考虑、在各大漏洞平台、src提交过漏洞者优先考虑。
java软件工程师,面议,广州市汇志文化传播有限公司,广州,...Python，熟悉Django/Tornado框架，能够进行快速开发  3.精通Linux，熟悉云计算、分布式、存储、网络相关技术  4.自我驱动的学习和工作习惯，对未知技术和领域能快速掌握并实践  5.有Java开发经验的优先  6.良好的沟通、协调能力，有项目管理、团队管理经...
.NET高级软件开发工程师,面议,铂涛酒店管理(深圳)有限公司 ,广州,...Python或java开发经验优先  8、欢迎90后或优秀毕业生投简历
运维工程师,面议,广东中建普联科技有限公司,广州,...Python 中一种脚本语言，能根据运维需求快速开发相应脚本。        3、  熟悉 lvs 、 nginx 、 keepalived 、 tomcat 、 redis 、 elasticsearch 、 bind 等环境安装配置及调优。        4、  熟悉 mys...
数据分析（BI）高级工程师,面议,广州金域医学检验中心有限公司 ,广州,...Python等软件开发经验优先 11.	必须具有独立分析，解决问题的能力，出色的沟通能力，自我约束力强，能够完成安排的任务 12.	精通使用PLSQL开发程序、SQL性能优化。 13.	熟悉Oracle数据库的编程和管理、以及熟悉Oracle特性和应用。 14.	具有较强的程序调...
测试工程师,面议,广东云游飞天网络科技有限公司,广州,...Python等；  4、熟悉Android或iOS系统使用及设置并且有过SDK测试经验；  5、熟悉app相关性能、电量、内存泄露，会自动化测试优先考虑；
软件开发与测试工程师,10001-15000,广州迪澳生物科技有限公司,广州 - 萝岗区,...python 等，至少掌握一种 ui 开发框架，如 mfc ， winform ， qt 等；   5 、有 GoogleTest 测试框架下编写过单元测试的更佳；   6 、公司主要使用 Visual Studio 进行开发；   7 、有良好的沟通与协调能力；   8 、工作...
运维开发工程师,面议,广州联瑞知识产权代理有限公司,广州,岗位职责：  1、负责平台大批量linux系统的日常维护及故障处理；  2、根据运维的需求，负责常用管理平台的开发部署；     任职要求：  1，责任心强，做事稳重、敢于尝试新鲜技术  2、熟悉linux系统的常用的实施维护操作  2，有较强python开发能力，投简历时需附上开发...
网页开发,面议,广州富力地产集团,广州,任职条件： 1、本科以上学历，计算机相关专业，2年以上移动网页前端开发工作经验； 2、精通HTML5+CSS3+JS编程，精通jQuery、jQuery Mobile等主流JS库； 3、掌握至少一种服务端开发语言（例如PHP，Ruby，Java，Python等）； 4、熟悉Web前端...
系统管理员,面议,广州富力地产集团,广州,任职条件： 1、本科以上学历；熟悉Linux系统，包括安装、配置和维护； 2、熟悉主流开源产品的应用和优化，如nginx、Lighttpd、Mysql、Squid等；熟悉系统硬件，如主机板卡、磁盘阵列等；具备脚本编程能力，如Shell/Python。
MySQL数据库工程师,面议,广州易幻网络科技有限公司,广州 - 天河区,...Python开发自动化运维工具者优先考虑； 7、了解Redis/Memcache/MongoDB等NoSQL数据库。
PHP后台开发工程师,面议,广州双娱信息科技有限公司,广州,...python等最少一种脚本语言；  5.有良好的沟通、表达、分析能力，有强烈的责任感和抗压能力，做事细致、思维缜密、敢于接受挑战；  6.熟悉服务器环境搭建、安全管理。熟悉MySql优化和apache安全配置者优先；  7.做过平台对接、充值接入者优先；  8.热爱游戏者优先。
cocos2d-x开发工程师(航海王项目官方正版授权),面议,广州叶游信息技术有限公司,广州,...Python/Lua，熟悉常用设计模式； 6、具有较强的学习能力，能够快速接受并使用新知识解决问题； 7、热爱游戏事业，对移动互联网充满热情。
自动化测试工程师,10001-15000,广州甲壳软件科技有限公司,广州 - 天河区,...Python;     4.对数据库具备一定的理论基础，在以往的工作中，涉及到SQL Server、MySQL、Oracle数据库应用;     5.较强的语言表达能力、逻辑思维能力，和团队合作能力；     6.较强的自学能力和解决问题的能力；
运维工程师,面议,广州易江南酒业有限责任公司,广州,...python)脚本语言编程，实现自动化运维；  3、熟悉主流开源软件(Nginx/Tomcat/php-fpm/Nodejs)的配置及调优；  4、了解MySQL可用性架构；  5、了解运维高容量、大流量、大并发Web系统的业务知识以及解决方案；有大、中型网站维护实战经验者优先；...
开发工程师,面议,广州易江南酒业有限责任公司,广州,...Python/C++等）进行过一定的Web后端开发。  6、有一定的前端框架设计经验，熟悉Web标准，熟悉用户体验相关知识。  7、有互联网精神，能快速适应变化，有较强的责任心，具有良好的沟通和团队协作能力。     二、【IOS高级开发工程师】     岗位职责：  1、 负责...
测试工程师,8001-10000,云宏信息科技股份有限公司,广州 - 天河区,...Python/PHP等常用脚本语言中的一种或多种，熟练编写测试脚本；  9、熟悉云计算虚拟化相关技术，了解VMware/Hyper-V/XenServer虚拟化产品中的一种或多种者优先。
测试主管,15001-20000,云宏信息科技股份有限公司,广州 - 天河区,...python等至少一种脚本语言；   5、有虚拟化相关开发、测试经验者优先考虑；   6、很强的技术前瞻性，了解测试技术的发展；   7、很强的学习能力、分析能力和解决问题的能力；   8、工作积极主动，执行能力强，努力推进问题解决。  =====================...
高级数据挖掘工程师,10001-15000,广州杰赛科技股份有限公司,广州,...python/JAVA/R；  3、熟悉Map-Reduce模型，对Hadoop/Spark/Storm等大规模数据存储与运算平台有实践经验；  4、有移动通信行业经验者优先；  素质要求：学习能力强，乐于创新，积极敬业；有合作精神  其他补充：熟练应用本专业工具软件，能阅读英文...
高级软件工程师,面议,广州杰赛科技股份有限公司,广州,...python尤佳。
MES(生产管理系统)开发工程师,面议,广州明珞汽车装备有限公司,广州,"...Python、Matlab/R、SQL，熟悉数据库管理及常用数据结构与算法，具有一定的编程工作量； C#/Java 程序员需求： 1）具有界面开发经验者优先(winform/wpf, AWT/SWT etc.)； 2）网络编程经验； 3）多线程编程经验； 4）数据库开发与应用。 ..."
程序员（Node.js）,面议,广东东田教育集团有限公司,广州,...python等语言优先考虑。
软件开发（核心网工程师）,面议,南京方东通信系统工程有限公司,广州,"岗位职责：  1、爱立信核心网维护、升级及技术支撑；   2、根据需求完成项目软件开发工作；   3、一经录用，待遇从优。  任职要求：  1、大专以上学历，有软件开发工作经验；  2、精通java、vc++、PYTHON、c#其中一种以上,能够熟练阅读英文资料；  3、有爱立信核心..."
数据库工程师,8001-10000,广州腾冲信息科技有限公司,广州 - 天河区,...PYTHON及其开源库等软件中的一项或多项，了解Oracle、Sqlserver、Mysql等主流数据库。   4、善于沟通，有数据分析报告讲解经验。
版本管理工程师（广州）,面议,东软集团股份有限公司 ,广州,岗位职责：  1、负责版本升级，修改配置、调整参数等生产环境修改工作。  2、负责各类开发和管理工具的引入，负责开发、测试、生产环境支撑。  3、完成上级交办的各项工作。     应聘资格要求及任职能力要求：  1. 熟悉版本管理流程；熟悉掌握shell、perl、python脚本其...
